Nr;pHWert;Substrat;Tray;Reihe;Spalte;Blattanzahl00;Blattanzahl10;Blattanzahl17;Blattanzahl24;Blattanzahl31;Blattanzahl38;Blattanzahl45;Blattanzahl 04.06.25 ;Blattanzahl 11.06.25;Blattanzahl 18.06.25;Blattanzahl 25.06.25;Bluehbeginn10;Bluehbeginn17;Bluehbeginn24;Bluehbeginn31;Bluehbeginn38;Bluehbeginn45;Bluehbeginn52;Bluehbeginn59;Bluehbeginn 18.06.25;Bluehbeginn 25.06.25;Farbveraenderung 23.04.25;Farbveraenderung17;Farbveraenderung24;Farbveraenderung31;Farbveraenderung38;Farbveraenderung45;Farbveraenderung52;Farbveraenderung59;Farbveraenderung 18.06.25;Farbveraenderung 25.06.25;Biomasse 25.06.25
1;basisch;Nullerde;1;1;1;3;5;8;16;22;30;40;;;;;Nein;Nein;Nein;Nein;Nein;Nein;Ja;Ja;;;;Nein;Ja;Nein;Nein;Nein;;Nein;;;
2;basisch;Vollerde;1;1;2;3;4;9;12;23;37;44;;;;;Nein;Nein ;Nein ;Nein;Nein;Nein;Ja;Ja;;;;Nein;Nein;Nein;Nein;Ja;;Nein;;;
3;basisch;Nullerde;1;1;3;2;3;6;7;10;18;37;;;;;Nein;Nein ;Nein ;Nein;Nein;Nein;Ja;Ja;;;;Nein;Ja;Nein;Nein;Nein;;Nein;;;
4;basisch;Nullerde;1;2;1;2;6;9;14;33;55;40;;;;;Nein;Nein ;Nein ;Nein;Nein;Ja;Ja;Ja;;;;Nein;Ja;Nein;Ja;Ja;;Nein;;;
5;basisch;Nullerde;1;2;2;3;5;7;13;28;39;56;;;;;Nein;Nein ;Nein ;Nein;Nein;Nein;Ja;Ja;;;;Nein;Ja;Nein;Ja;Ja;;Nein;;;
6;neutral;Sand;1;2;3;2;3;5;7;15;20;30;;;;;Nein;Nein ;Nein ;Nein;Nein;Nein;Ja;Ja;;;;Nein;Ja;;Nein;Ja;;Ja;;;
7;basisch;Nullerde;1;3;1;2;4;5;9;15;20;26;;;;;Nein;Nein;Nein;Nein;Nein;Nein;Ja;Ja;;;;Nein;Ja;;Ja;Ja;;Nein;;;
8;basisch;Sand;1;3;2;2;4;6;11;24;23;29;;;;;Nein;Nein;Nein;Nein;Nein;Nein;Ja;Ja;;;;Nein;Nein;;Ja;Ja;;Nein;;;
9;basisch;Vollerde;1;3;3;2;4;6;10;19;19;21;;;;;Nein;Nein;Nein;Nein;Nein;Nein;Ja;Ja;;;;Nein;Ja;;Ja;Ja;;Nein;;;
10;neutral;Sand;1;4;1;2;4;6;8;15;23;28;;;;;Nein;Nein;Nein;Nein;Nein;Ja;Ja;Ja;;;;Nein;Nein;;Nein;Nein;;Nein;;;
11;basisch;Sand;1;4;2;3;5;6;11;21;28;35;;;;;Nein;Nein;Nein;Nein;Nein;Nein;Ja;Ja;;;;Nein;Nein;;Nein;Ja;;Nein;;;
12;basisch;Nullerde;1;4;3;2;3;4;6;10;18;25;;;;;Nein;Nein;Nein;Nein;Nein;Nein;Ja;Ja;;;;Nein;Nein;;Nein;Nein;;Nein;;;
13;basisch;Sand;1;5;1;2;4;6;8;17;32;40;;;;;Nein;Nein;Nein;Nein;Nein;Nein;Ja;Ja;;;;Nein;Nein;;Ja;Ja;;Nein;;;
14;basisch;Sand;1;5;2;2;4;5;12;19;28;36;;;;;Nein;Nein;Nein;Nein;Nein;Ja;Ja;Ja;;;;Nein;Nein;;Ja;Ja;;Nein;;;
15;basisch;Nullerde;1;5;3;3;5;7;10;19;30;38;;;;;Nein;Nein;Nein;Nein;Nein;Nein;Ja;Ja;;;;Nein;Nein;;Nein;Ja;;Nein;;;
16;neutral;Sand;2;1;1;3;5;6;11;19;27;40;;;;;Nein;Nein;Nein;Nein;Nein;Nein;Ja;Ja;;;;Nein;Nein;;Nein;Nein;;Nein;;;
17;neutral;Vollerde;2;1;2;3;3;5;11;23;24;34;;;;;Nein;Nein;Nein;Nein;Nein;Nein;Ja;Ja;;;;Nein;Nein;;Ja;Nein;;Nein;;;
18;neutral;Nullerde;2;1;3;2;4;5;8;15;20;25;;;;;Nein;Nein;Nein;Nein;Nein;Ja;Ja;Ja;;;;Nein;Ja;;Ja;Ja;;Nein;;;
